# ไฟล์คำศัพท์ภาษาญี่ปุ่น
# รูปแบบ: คำถาม|การอ่าน|ความหมาย
# บรรทัดขึ้นต้น # คือ comment จะถูกข้าม

[JLPT N3 Vocabulary]
ＩＯＣ：国際オリンピック委員会|アイオーシー：こくさいオリンピックいいんかい|คณะกรรมการโอลิมปิกสากล
斜面|しゃめん|ทางลาด, ผิวลาด, พื้นลาดชัน
～周：あるものの周りを回る回数を数えるのに使う|～しゅう|...รอบ : ใช้นับจำนวนครั้งที่หมุนรอบสิ่งใดสิ่งหนึ่ง
収穫（する）|しゅうかく（する）|การเก็บเกี่ยวผลผลิต, ผลผลิตที่เก็บเกี่ยวได้
自由形：水泳の競技種目の一つ|じゆうがた|ท่าฟรีสไตล์ : หนึ่งในประเภทที่ใช้ในการแข่งขันว่ายน้ำ
集客|しゅうきゃく|การดึงดูดลูกค้า
集合（する）|しゅうごう（する）|การมาชุมนุมกัน, การมารวมกลุ่มกัน
重傷|じゅうしょう|การบาดเจ็บสาหัส, แผลฉกรรจ์
就職（する）|しゅうしょく（する）|การหางานทำ, การได้งานทำ
渋滞（する）|じゅうたい（する）|การ (จราจร) ติดขัด, (รถ) ติด
終電（＝最終電車）|しゅうでん|รถไฟขบวนสุดท้าย
充電（する）|じゅうでん（する）|การชาร์จไฟ, การอัดกระแสไฟฟ้า
十分，十分な|じゅうぶん，じゅうぶんな|เพียงพอ
住民|じゅうみん|พลเมือง, ประชาชน
終了（する）|しゅうりょう（する）|การเสร็จสิ้น, การเสร็จสมบูรณ์, การสิ้นสุด
宿泊（する）|しゅくはく（する）|การพักแรม, การพำนัก
受験（する）|じゅけん（する）|การสอบเข้า
取材（する）|しゅざい（する）|การเก็บข้อมูลเพื่อทำข่าวหรือผลิตรายการ, การหาข่าว
手術（する）|しゅじゅつ（する）|การผ่าตัด
出演（する）|しゅつえん（する）|การแสดง (ละคร, ภาพยนตร์)
出席率|しゅっせきりつ|อัตราการเข้าร่วม
寿命|じゅみょう|อายุขัย
順調な|じゅんちょうな|ราบรื่น
準備体操|じゅんびたいそう|การออกกำลังเพื่ออบอุ่นร่างกาย
正月|しょうがつ|ปีใหม่
しょうがない||ไม่มีทางเลือก, หลีกเลี่ยงไม่ได้, ช่วยไม่ได้
条件|じょうけん|เงื่อนไข, ข้อแม้, ข้อเรียกร้อง
上司|じょうし|หัวหน้า, เจ้านาย, ผู้บังคับบัญชา
少子化|しょうしか|อัตราการเกิดลดลง
常識|じょうしき|สามัญสำนึก, เรื่องที่รู้กันทั่วไป
正直な|しょうじきな|อย่างซื่อตรง, อย่างตรงไปตรงมา
状態|じょうたい|สภาพ, สถานการณ์
冗談|じょうだん|เรื่องตลก, เรื่องล้อเล่น
商店街|しょうてんがい|ย่านร้านค้า
消費者|しょうひしゃ|ผู้บริโภค
消費税|しょうひぜい|ภาษีบริโภค
商品|しょうひん|สินค้า
賞品|しょうひん|รางวัล
情報|じょうほう|ข่าวสาร
証明（する）|しょうめい（する）|การรับรอง, การพิสูจน์
ショー||การแสดง, การโชว์
食材|しょくざい|เครื่องบริโภค, ของกิน
食中毒|しょくちゅうどく|อาหารเป็นพิษ
職場|しょくば|ที่ทำงาน
初心者|しょしんしゃ|มือใหม่
ショッピングセンター||ศูนย์การค้า, ช็อปปิ้งเซ็นเตอร์
知り合い|しりあい|คนรู้จัก
シロイルカ||วาฬเบลูกา (วาฬขาว)
しわ||รอยย่น, ตีนกา, รอยยับ
真剣な|しんけんな|จริงจัง
深刻な|しんこくな|เร่งเครียด, จริงจัง, หนักหนาสาหัส, (เรื่อง) ร้ายแรง
人事|じんじ|งานบุคคล
新製品|しんせいひん|สินค้าใหม่, ผลิตภัณฑ์ใหม่
新鮮な|しんせんな|(อาหาร) สด, ใหม่
新入社員|しんにゅうしゃいん|พนักงานใหม่
進歩（する）|しんぽ（する）|ความก้าวหน้า, ความมุดหน้า, พัฒนาการ
親友|しんゆう|เพื่อนสนิท
信頼（する）|しんらい（する）|ความไว้วางใจ, การไว้เนื้อเชื่อใจ
信頼関係|しんらいかんけい|ความสัมพันธ์ที่ไว้เนื้อเชื่อใจซึ่งกันและกัน
人類|じんるい|มนุษยชาติ
進路|しんろ|ทางข้างหน้า, เส้นทางชีวิตในอนาคต
新郎|しんろう|เจ้าบ่าว
水分|すいぶん|ส่วนประกอบที่เป็นน้ำหรือของเหลว, ความชุ่มชื้น, น้ำ
ずいぶん||เหลือเกิน, มากทีเดียว
数学|すうがく|คณิตศาสตร์
スーツケース||กระเป๋าเดินทาง
好き嫌い（する）|すきぎらい（する）|การชอบและการเกลียด, สิ่งที่ชอบและสิ่งที่เกลียด
進める|すすめる|ทำให้ก้าวหน้า, ทำให้คืบหน้า, พัฒนา
スター||ดารา, ดาวเด่น
スタッフ||ผู้ร่วมงาน, คณะผู้ทำงาน, เจ้าหน้าที่, สต้าฟ
頭痛|ずつう|การปวดศีรษะ, อาการปวดศีรษะ
すっかり||ทั้งหมด, โดยสิ้นเชิง
すてきな||งดงาม, สง่า, สวยเก่, เยี่ยมยอด
ストレス||ความเครียด, ความกังวลใจ
ストレスがたまる||ความเครียดสะสม
スパゲティ||สปาเกตตี
スピード||ความเร็ว
スポーツクラブ||สโมสรกีฬา, สปอร์ตคลับ
スポーツ選手|スポーツせんしゅ|นักกีฬา
済む|すむ|เสร็จ, สำเร็จ, หมดเรื่อง, จบเรื่อง
～製：製品などが、どこで、または何で作られたかを表す|～せい|ผลิตภัณฑ์... : แสดงว่าสินค้าฯลฯ ผลิตขึ้นที่ไหน และทำจากอะไร
性格|せいかく|นิสัย, ลักษณะนิสัย
正確な|せいかくな|แน่นอน, ถูกต้อง, แม่นยำ, เที่ยงตรง
生活費|せいかつひ|ค่าใช้จ่ายในการดำรงชีวิต
成功（する）|せいこう（する）|ความสำเร็จ, การประสบความสำเร็จ
政策|せいさく|นโยบาย, มาตรการ
生産（する）|せいさん（する）|การผลิต
政治|せいじ|การเมือง
正社員|せいしゃいん|พนักงานประจำ
成人式|せいじんしき|พิธีฉลองการบรรลุนิติภาวะ
成績|せいせき|คะแนน, ผลการเรียน, ผลงาน
性能|せいのう|ความสามารถทั้งทางร่างกายและจิตใจ, ประสิทธิภาพ
製品|せいひん|สินค้า, ผลิตภัณฑ์
生物|せいぶつ|สิ่งมีชีวิต
声優|せいゆう|นักพากย์
整理（する）|せいり（する）|การจัดการสะสาง, การดูแลให้เป็นระเบียบ
セール||การลดราคา, เซลส์
世界各地|せかいかくち|ทั่วโลก
背が伸びる|せがのびる|ตัวสูงขึ้น
せき||ไอ
積雪|せきせつ|หิมะที่ตกทับถมกัน
世代|せだい|วัย, สมัย, คนที่มีชีวิตในช่วงเดียวกัน
せっかく||อุตส่าห์..., แสดงความรู้สึกเสียใจหรือเสียดายในโอกาสที่หายาก
接待（する）|せったい（する）|การต้อนรับแขก
設定（する）|せってい（する）|การกำหนด
セット||...ชุด, ชุดอุปกรณ์เครื่องใช้, เซ็ท (การนับกีฬาประเภทเทนนิส วอลเลย์บอล ปิงปอง)
設備|せつび|เครื่องมือ, เครื่องใช้, เครื่องอำนวยความสะดวก
説明書|せつめいしょ|คู่มือแนะนำการใช้
背中|せなか|แผ่นหลัง, ด้านหลัง
攻める|せめる|รุก, โจมตี, รุ่โจม
世話（する）|せわ（する）|การดูแลเอาใจใส่, การปรนนิบัติ, การช่วยเหลืออุปถัมภ์
全員|ぜんいん|ทุกคน
専攻（する）|せんこう（する）|การศึกษาเป็นวิชาเอก
先日|せんじつ|วันก่อน
前日|ぜんじつ|วันก่อนหน้าวันนั้น, วันก่อนหน้านั้น
選手|せんしゅ|นักกีฬา
全速力|ぜんそくりょく|ความเร็วเต็มที่, สุดฝีเท้า
全体|ぜんたい|ทั้งหมด, ทุกส่วน, โดยรวม
洗濯物|せんたくもの|เสื้อผ้าที่จะซัก, เสื้อผ้าที่ซักแล้ว
宣伝（する）|せんでん（する）|การโฆษณา, การพูดเกินความจริง
専門|せんもん|วิชาเฉพาะทาง, ความเชี่ยวชาญเฉพาะด้าน
専門家|せんもんか|ผู้เชี่ยวชาญพิเศษ, ผู้เชี่ยวชาญเฉพาะด้าน
専門分野|せんもんぶんや|สาขาที่เชี่ยวชาญเป็นพิเศษ
騒音|そうおん|เสียงรบกวน
操作（する）|そうさ（する）|การควบคุมการทำงาน (เครื่องจักร, เครื่องมือ), ปฏิบัติการ
送信（する）|そうしん（する）|การส่งสัญญาณ
想像（する）|そうぞう（する）|การจินตนาการ
早退（する）|そうたい（する）|การกลับก่อนเวลา
送別会|そうべつかい|งานเลี้ยงส่ง, งานเลี้ยงอำลา
速達|そくたつ|ไปรษณีย์ด่วน
卒業論文|そつぎょうろんぶん|ปริญญานิพนธ์, วิทยานิพนธ์
そっとしておく||ปล่อยไว้ตามลำพัง, ปล่อยไว้เงียบๆ
そのくせ||ทั้งๆ ที่เป็นเช่นนั้น
そば||โซบะ (อาหารประเภทเส้นของญี่ปุ่น)
祖父|そふ|ปู่, ตา (ของตน)
ソファー||โซฟา
祖母|そぼ|ย่า, ยาย (ของตน)
染まる|そまる|ถูกย้อม, ถูกฉาบทาด้วย
染める|そめる|ย้อม, เคลือบสี
それほど～ない||ไม่...ขนาดนั้น
～代：物やサービスに対して払うお金を表す|～だい|ค่า... : แสดงเงินที่ใช้จ่ายเพื่อสิ่งของหรือการบริการ
退院（する）|たいいん（する）|การออกจากโรงพยาบาล
ダイエット（する）||การควบคุมอาหาร, การดูแลด้านโภชนาการ, ไดเอท
対応（する）|たいおう（する）|การรับมือ, การรับสถานการณ์, การปรับตาม
大企業|だいきぎょう|บริษัทขนาดใหญ่
滞在（する）|たいざい（する）|การพำนัก (มักใช้กับการพักอาศัยในต่างประเทศ)
大事故|だいじこ|อุบัติเหตุครั้งใหญ่
体重計|たいじゅうけい|เครื่องชั่งน้ำหนัก
体操|たいそう|การฝึกกายบริหาร, การเสริมสร้างพลานามัย
だいたい||(เรื่อง) คร่าวๆ, โดยส่วนมาก, ส่วนใหญ่
体調|たいちょう|สภาพร่างกาย
態度|たいど|ท่าทาง, ท่าทีที่แสดงออก
大統領|だいとうりょう|ประธานาธิบดี
台所|だいどころ|ห้องครัว
大都市|だいとし|เมืองใหญ่
タイトル||หัวข้อ
タイプ||ชนิด, ประเภท
（電車の）ダイヤ|（でんしゃの）ダイヤ|ตารางเวลา (รถไฟฟ้า)
太陽|たいよう|พระอาทิตย์
体力|たいりょく|สมรรถภาพของร่างกาย, ภูมิต้านทานโรค
宝くじ|たからくじ|สลากกินแบ่งรัฐบาล
抱く|だく|โอบ, กอด, อุ้ม
確かめる|たしかめる|ตรวจสอบให้แน่ใจอีกครั้ง, ตรวจสอบให้รู้แน่
他社|たしゃ|บริษัทอื่น
訪ねる|たずねる|เยี่ยมเยียน
ただ||ฟรี, ไม่เสียเงิน, ปกติ
たたく||ทุบ, ตี, ตบ (มือ), เคาะ
立ち上がる|たちあがる|ยืนขึ้น, ยืนหยัดขึ้นอีกครั้ง, เริ่มลงมือทำ
たっぷり||(มี) มาก, เพียงพอ
多方面|たほうめん|หลายด้าน, รอบด้าน
試す|ためす|ทดสอบ, ลอง (ทำ)
保つ|たもつ|(สภาพ) คงอยู่, รักษาไว้
頼る|たよる|พึ่งพาอาศัย
単位を取る|たんいをとる|ได้รับหน่วยกิต
短気な|たんきな|ใจร้อน, อารมณ์ร้อน, ฉุนเฉียว
単語|たんご|คำศัพท์
短縮（する）|たんしゅく（する）|การย่น (ระยะเวลา, ระยะทาง), การลด (ขั้นตอน)
担当（する）|たんとう（する）|การรับผิดชอบ, หน้าที่ที่ได้รับมอบหมาย
担当者|たんとうしゃ|ผู้รับผิดชอบ
地域|ちいき|เขต, ย่าน, บริเวณ
チーズ||เนยแข็ง, ชีส
チームワーク||การทำงานเป็นทีม, ทีมเวิร์ค
チェック（する）||การตรวจสอบ
違い|ちがい|ความแตกต่าง
近づく|ちかづく|ใกล้เข้ามา, ทำความสนิทสนม
力を合わせる|ちからをあわせる|รวมพลัง, รวมกำลัง
地球上|ちきゅうじょう|บนโลก
地方|ちほう|ต่างจังหวัด, ท้องถิ่น, ภูมิภาค
知名度|ちめいど|ระดับความมีชื่อเสียง
チャイム||เสียงกริ่ง
チャリティコンサート||คอนเสิร์ตการกุศล
チャンス||โอกาส
駐車場|ちゅうしゃじょう|ที่จอดรถ, ลานจอดรถ
抽選|ちゅうせん|การจับสลาก, การจับรางวัล
注文（する）|ちゅうもん（する）|การสั่งของ, ข้อเรียกร้อง, ความต้องการ
調査（する）|ちょうさ（する）|การตรวจสอบ, การสำรวจ, การสืบสวน
調子が悪い|ちょうしがわるい|สภาพร่างกายไม่ดี, รู้สึกไม่สบาย
頂上|ちょうじょう|ยอดเขา, จุดสูงสุด, สุดยอด
朝食|ちょうしょく|อาหารเช้า
ちょうだいする：「もらう」のていねいな言い方|ちょうだいする|น้อมรับ, ขอ : รูปสุภาพของ もらう
散らかっている|ちらかっている|เกลื่อนกลาด, กระจุยกระจาย
散り始め|ちりはじめ|(ใบไม้, กลีบดอกไม้) เริ่มร่วง
治療（する）|ちりょう（する）|การรักษา (โรค, บาดแผล)
治療法|ちりょうほう|วิธีรักษา (โรค, บาดแผล)
通勤（する）|つうきん（する）|การเดินทางไปทำงาน
通信販売|つうしんはんばい|การสั่งซื้อสินค้าทางไปรษณีย์
通知（する）|つうち（する）|การแจ้งให้ทราบ
通訳|つうやく|การเป็นล่ามแปล, ล่าม
付き合う|つきあう|คบหา, (ไป) เป็นเพื่อน
机|つくえ|โต๊ะ
（水に）つける|（みずに）つける|แช่ (น้ำ)
土|つち|ดิน, แผ่นดิน, พื้นดิน
津波|つなみ|คลื่นยักษ์ที่เกิดจากแผ่นดินไหวหรือพายุ, สึนามิ
つぶす||บด, ขยี้, ทำให้แตก, บี้, ทำลาย
梅雨|つゆ|ฤดูฝน
梅雨明け（する）|つゆあけ（する）|การเข้าสู่ช่วงปลายฤดูฝน
強気な|つよきな|ไม่ยอมแพ้, ที่มุ่งจะเอาชนะ
つらい||ทุกข์ทรมาน, หนักหนาสาหัส, ขมขื่น
手足|てあし|แขนขา, มือเท้า, คนที่เป็นมือเป็นเท้าให้
Tシャツ|Tシャツ|เสื้อยืดคอกลม
定員|ていいん|จำนวนคนที่กำหนดไว้, จำนวนคนที่จุได้
提出（する）|ていしゅつ（する）|การยื่น (ข้อเสนอแนะ, ญัตติ, เอกสาร), การส่ง (รายงาน)
ディスカッション||การอภิปราย
ディナー||มื้ออาหารค่ำ
デート||การนัดพบของชายหญิง, วันที่
テーマ||หัวเรื่อง, หัวข้อ
手軽な|てがるな|ง่าย, เรียบง่าย, ง่ายและสะดวก
デザイン事務所|デザインじむしょ|สำนักงานรับออกแบบ
デジカメ（＝デジタルカメラ）|デジカメ|กล้องดิจิตอล
鉄|てつ|เหล็ก
手伝い|てつだい|คนช่วยงาน, การช่วยงาน
手続き（する）|てつづき（する）|การดำเนินการตามขั้นตอน
徹夜（する）|てつや（する）|การอยู่ได้รุ่ง, การไม่นอนทั้งคืน
手に入れる|てにいれる|ได้รับ
テニスコート||สนามเทนนิส
手荷物|てにもつ|สัมภาระที่หิ้วติดตัว
手元|てもと|ที่มือ, ในมือ, ใกล้มือ
テレビ局|テレビきょく|สถานีโทรทัศน์
電気自動車|でんきじどうしゃ|รถยนต์พลังงานไฟฟ้า
電球|でんきゅう|หลอดไฟ
転勤（する）|てんきん（する）|การย้ายไปอยู่ต่างสาขา
天候不順|てんこうふじゅん|สภาพอากาศแปรปรวน
電池|でんち|ถ่านไฟฉาย, แบตเตอรี่
伝統|でんとう|ขนบธรรมเนียมที่สืบทอดกันมาแต่โบราณ
電波|でんぱ|คลื่น (วิทยุ, ไฟฟ้า)
～度：あるものの量や度合を表す|～ど|...ระดับ, ...ครั้ง, ...องศา : แสดงระดับหรือปริมาณของสิ่งใดสิ่งหนึ่ง
問い合わせ|といあわせ|การติดต่อสอบถาม
トイレットペーパー||กระดาษชำระ
当～：その、この、今話題にしているという意味を表す|とう～|...นี้, ...นั้น : แสดงความหมายเรียกสิ่งนี้, สิ่งนั้น ซึ่งกำลังเป็นหัวข้อสนทนาอยู่ ณ ขณะนี้
東京スカイツリー|とうきょうスカイツリー|โตเกียวสกายทรี (หอคอยที่ใช้ในการส่งสัญญาณคลื่นวิทยุและถือเป็นสถานที่ที่มีชื่อเสียงในกรุงโตเกียว)
倒産（する）|とうさん（する）|การล้มละลาย
当日（＝その日）|とうじつ|วันจริง, วันนั้น, วันที่จัดงาน
同時に|どうじに|ในเวลาเดียวกัน, สมัยเดียวกัน
登場（する）|とうじょう（する）|การปรากฎตัว (ของตัวละคร, สิ่งใหม่ในวงการ)
当然|とうぜん|ย่อมจะ..., เป็นธรรมดาที่จะ..., สมเหตุสมผล
到着（する）|とうちゃく（する）|การถึงที่หมาย, การถึง (จุดหมายปลายทาง)
盗難|とうなん|การขโมย, การลักทรัพย์, การปล้นทรัพย์
導入（する）|どうにゅう（する）|การนำสิ่งใหม่ๆ เข้ามาใช้, การนำความรู้ใหม่เข้ามาเผยแพร่, การเกริ่นนำ
投票（する）|とうひょう（する）|การลงคะแนนเสียง
豆腐|とうふ|เต้าหู้
同僚|どうりょう|เพื่อนร่วมงาน
都会|とかい|เมืองใหญ่
解く|とく|แก้ไข, คลี่คลาย
得意な|とくいな|พิเศษ, โดดเด่น, ต่างจากสิ่งอื่นๆ
読書|どくしょ|การอ่านหนังสือ
特色|とくしょく|พิเศษ, ลักษณะเด่น
独身|どくしん|เป็นโสด, ยังไม่ได้แต่งงาน
独身者|どくしんしゃ|คนโสด
特に～ない|とくに～ない|ไม่...เป็นพิเศษ
特売品|とくばいひん|สินค้าราคาพิเศษ
特別な|とくべつな|พิเศษ, โดยเฉพาะ
解ける|とける|คลี่, ทำให้หลุด, แก้ไข
溶ける|とける|ละลาย
ところによって（＝場所によって）：天気予報で使われる|ところによって|ในบางพื้นที่ : ใช้ในการพยากรณ์อากาศ
登山|とざん|การปีนเขา
突然|とつぜん|ทันที
トップ||แนวหน้า, สูงสุด, ลำดับที่ 1
（光が）届く|（ひかりが）とどく|(แสง) ส่องถึง, เข้าถึง
飛び乗る|とびのる|กระโดดขึ้น
とびら||บานประตู
トマト||มะเขือเทศ
ドラマ||ละคร
取り扱い|とりあつかい|การจัดการ
取り替える|とりかえる|เปลี่ยน, แลกเปลี่ยน
取り出す|とりだす|เอาออกมา, เลือกออกมา
取り直す|とりなおす|แก้ไขใหม่, ปรับอารมณ์
とり肉|とりにく|เนื้อไก่, เนื้อนก
取引先|とりひきさき|คู่ค้า, ลูกค้า
努力（する）|どりょく（する）|การใช้ความพยายาม
ドリンク||เครื่องดื่ม, ยาชูกำลัง
トレーニング（する）||การฝึกฝน, การฝึกซ้อม
ドレス||เครื่องแต่งกาย
泥|どろ|โคลน
ドロドロ||เสียงฟ้าร้องหรือเสียงกลอง, เหนอะหนะ, เต็มไปด้วยโคลน
どんどん||เสียงเคาะประตูหนักๆ, เรื่อยๆ ไม่หยุด
内線|ないせん|โทรศัพท์ติดต่อภายใน
内容|ないよう|เนื้อหา
仲がいい|なかがいい|มีความสัมพันธ์อันดี
仲直り（する）|なかなおり（する）|การคืนดี
中身|なかみ|เนื้อหา, เนื้อใน, สิ่งที่อยู่ข้างใน
仲よく|なかよく|อย่างมีสัมพันธ์อันดี
鳴き声|なきごえ|เสียงร้อง (นก, แมลง)
泣き虫|なきむし|คนขี้แย
投げる|なげる|ขว้าง, ปา, ยกเลิก, ล้มเลิกกลางคัน
ナス||มะเขือ
納豆|なっとう|ถั่วหมัก
夏バテ|なつばて|การมีอาการอ่อนเพลียไร้เรี่ยวแรงเพราะความร้อน
何事も経験だ|なにごともけいけんだ|ทุกอย่างถือเป็นประสบการณ์
鍋|なべ|หม้อ, อาหารประเภทต้มที่ใช้หม้อ
生|なま|สด, ไม่ปรุงแต่ง, ยังไม่สุก, คำย่อของเบียร์สด
生クリーム|なまクリーม|ครีมสด
涙|なみだ|น้ำตา
悩む|なやむ|ทุกข์, ทรมาน
鳴る|なる|ร้อง, ส่งเสียง
慣れる|なれる|คุ้นเคย, มักคุ้น, ติดเป็นนิสัย
何といっても|なんといっても|อย่างไรก็ตาม, ไม่ว่าอย่างไร
似合う|にあう|เหมาะสม, เข้ากัน
ニーズ||ความต้องการ, ความจำเป็น
逃げ出す|にげだす|หนีไป
逃げる|にげる|หนี, หลีกเลี่ยง
偽物|にせもの|ของปลอม
日課|にっか|กิจวัตรประจำวัน
荷物入れ|にもつにいれ|ตะกร้าสำหรับใช้ใส่ของใช้ส่วนตัว
入会（する）|にゅうかい（する）|การเข้าเป็นสมาชิก
入会金|にゅうかいきん|ค่าเข้าเป็นสมาชิก
入金（する）|にゅうきん（する）|การได้รับเงิน, การฝากเงิน
入社（する）|にゅうしゃ（する）|การเข้าเป็นพนักงานบริษัท
入力（する）|にゅうりょく（する）|การใส่ข้อมูลลงในคอมพิวเตอร์
似る|にる|คล้ายคลึง
人間|にんげん|มนุษย์
人間関係|にんげんかんけい|ความสัมพันธ์ระหว่างบุคคล
にんじん||แครอท
人数|にんずう|จำนวนคน
抜ける|ぬける|หลุด, หายไป, ขาด, ตกหล่น
盗む|ぬすむ|ขโมย
塗る|ぬる|ทา, ลงสี
根|ね|ราก
値上がり（する）|ねあがり（する）|การที่ราคาสูงขึ้น
猫の手も借りたい|ねこのてもかりたい|ยุ่งมาก (สำนวน)
値下げ（する）|ねさげ（する）|การลดราคา
ネット（＝インターネット）|ネット|อินเทอร์เน็ต
ネットショッピング||การสั่งซื้อสินค้าทางอินเทอร์เน็ต
寝不足|ねぶそく|การนอนไม่พอ
値札|ねふだ|ป้ายติดราคา
寝坊（する）|ねぼう（する）|การตื่นสาย
年度|ねんど|ปีงบประมาณ, ปีการศึกษา
年末|ねんまつ|ปลายปี
年齢|ねんれい|วัย, อายุ
農園|のうえん|สวนเกษตร
農家|のうか|เกษตรกร, บ้านเกษตรกร
農作物|のうさくもつ|ผลิตผลทางการเกษตร
納品（する）|のうひん（する）|การส่งสินค้า
残り|のこり|การเหลือ, ของเหลือ
残り1分を切る|のこり1ふんをきる|เหลือเวลา 1 นาที
～の順に|～のじゅんに|ตามลำดับ...
乗せる|のせる|ให้คนขึ้นรถ, ให้เป็นไปตามแผน, ทำให้เข้าจังหวะ
（試合に）のぞむ|（しあいに）のぞむ|เข้าร่วม (การแข่งขัน)
のどがかわく||คอแห้ง, กระหายน้ำ
（売り上げが）伸びる|（うりあげが）のびる|(ยอดขาย) สูงขึ้น
延びる|のびる|(ระยะทาง, เวลา) ยาวนานขึ้น, ช้า
伸びる|のびる|สูงขึ้น, ยาวขึ้น, พัฒนาเติบโต, ยืด
のんびり||ตามสบาย, ไม่รีบร้อน
のんびり（する）|のんびり（する）|การทำตัวตามสบาย, ไม่รีบร้อน
バーベキューパーティー||งานเลี้ยงบาร์บีคิว
～倍：ある数を重ねて加えていくときの単位|～ばい|...เท่า : หน่วยที่ใช้เวลาเพิ่มจำนวนหนึ่งทับซ้อนขึ้นไปเรื่อยๆ
倍（＝2倍）|ばい|2 เท่า
バイク||รถจักรยานยนต์
売店|ばいてん|ร้านขายของเล็กๆ, ชุมขายของ
俳優|はいゆう|นักแสดง
生える|はえる|งอก, ขึ้น
激しい|はげしい|รุนแรง
（お）はし||ตะเกียบ
恥ずかしい|はずかしい|อาย
肌|はだ|ผิว, ด้านหน้า, สภาวะอารมณ์
はち||ผึ้ง
ハチ公：昭和初期、東京・渋谷駅の前で、亡くなった飼い主の帰りを待ち続けたことで知られる忠犬|ハチこう|ฮาจิโกะ : สุนัขชื่อฮาจิที่เฝ้ารอเจ้าของซึ่งเสียชีวิตไปแล้วกลับบ้านที่หน้าสถานีรถไฟชิบุยะ กรุงโตเกียว สมัยโชวะตอนต้น ปัจจุบันมีรูปหล่อสร้างขึ้นหน้าสถานีรถไฟชิบุยะ และใช้เป็นสถานที่นัดพบบ้านกัน
はちみつ||น้ำผึ้ง
はっきり||อย่างแน่ชัด, แจ่มแจ้ง
パック||การเก็บของลงกีบห่อ, แพคเกจทัวร์
抜群な|ばつぐんな|โดดเด่น, ยอดเยี่ยม
発車（する）|はっしゃ（する）|การออกรถ
発生（する）|はっせい（する）|การเกิดขึ้น
発送（する）|はっそう（する）|การส่งพัสดุ
発売（する）|はつばい（する）|การออกขาย, การวางตลาด
ハト||นกพิราบ
バドミントン||แบดมินตัน
話し合い|はなしあい|การพูดคุยกัน
話しかける|はなしかける|เข้าไปทักทายด้วย
（手を）離す|（てを）はなす|ปล่อย (มือ)
花びら|はなびら|กลีบดอกไม้
花見|はなみ|การชมดอกซากุระ
花見客|はなみきゃく|ผู้ที่มาชมดอกซากุระ
幅|はば|ความกว้าง
ハム||แฮม
はらが立つ|はらがたつ|โกรธ
ばらばら||ไม่เป็นอันหนึ่งอันเดียวกัน
バランス||ความสมดุล
パリ||กรุงปารีส
晴れ|はれ|อากาศแจ่มใส
バレンタインデー||วันวาเลนไทน์
～晩：夜を数えるときに使う|～ばん|...คืน : ใช้นับจำนวนคืน
半額|はんがく|ครึ่งราคา
番組|ばんぐみ|รายการ (วิทยุ, โทรทัศน์)
反対（する）|はんたい（する）|ตรงกันข้าม, การไม่เห็นด้วย, การคัดค้าน
反対運動|はんたいうんどう|การรณรงค์คัดค้าน
反対方向|はんたいほうこう|ทิศทางตรงกันข้าม
バンド||เข็มขัด, วงดนตรี, ช่วงคลื่นความถี่
ハンドル||มือถือ, ที่จับ
犯人|はんにん|คนร้าย, อาชญากร
ハンバーガー||แฮมเบอร์เกอร์
～費：物やサービスにかかるお金を表す|～ひ|ค่า... : แสดงจำนวนเงินที่ใช้จ่ายค่าสิ่งของหรือบริการ
ピアス||ต่างหูแบบเจาะ
日当たり|ひあたり|สภาพที่แตดส่องถึง
被害|ひがい|ความเสียหาย, ภัย
光|ひかり|แสง, ความหวัง
日ごろ|ひごろ|เสมอ, เป็นนิสัย
ピザ||พิซซ่า
非常に|ひじょうに|อย่างไม่ปกติ, อย่างมาก
筆記試験|ひっきしけん|การสอบข้อเขียน
引っ越し|ひっこし|การโยกย้าย (ที่อยู่)
ピッチャー||ผู้ขว้างในกีฬาเบสบอล, พิตเชอร์
ヒット（する）||การตีลูกในกีฬาเบสบอล
（風邪が）ひどい|（かぜが）ひどい|(เป็นหวัด) รุนแรง
一言|ひとこと|คำพูดสั้นๆ
人混み|ひとごみ|คนแน่น, ฝูงชน
一晩|ひとばん|คืนเดียว
人々：不特定多数の人を表す|ひとびと|ผู้คน : แสดงถึงคนที่มีจำนวนมากมายไม่เฉพาะเจาะจง
人前|ひとまえ|ต่อหน้าผู้คน, อากัปกิริยาภายนอก
ビニール袋|ビニールぶくろ|ถุงพลาสติก
ひび||รอยร้าว, (ความสัมพันธ์) ร้าวฉาน
秘密|ひみつ|ความลับ
ひも||เชือก
美容院|びよういん|ร้านเสริมสวย
評価（する）|ひょうか（する）|การประเมินค่า
評判，評判な|ひょうばん，ひょうばんな|ชื่อเสียง, คำเล่าลือ
昼過ぎ|ひるすぎ|หลังเที่ยงเล็กน้อย
広がる|ひろがる|กว้าง, แผ่ขยาย, แพร่หลาย
広まる|ひろまる|แผ่กว้าง
ファイル||แฟ้ม
ファストフード||อาหารจานด่วน, อาหารฟาสต์ฟู้ด
ファッション||แฟชั่น
ファッションショー||แฟชั่นโชว์
フィンランド||ประเทศฟินแลนด์
風景|ふうけい|ทิวทัศน์
フォーク||ส้อม
部下|ぶか|ผู้ใต้บังคับบัญชา, ลูกน้อง
深まる|ふかまる|ลึกขึ้น
普及（する）|ふきゅう（する）|การกระจาย, การแพร่หลาย
ふきん||ผ้าเช็ดถ้วยชาม, ผ้าขี้ริ้ว
